"pattern"	"G527_1_P1A11_feces_S1"	"G527_10_P1A26_feces_S10"	"G527_11_P1A28_feces_S11"	"G527_12_P1A29_feces_S12"	"G527_13_P1A4_feces_S13"	"G527_14_P1A7_feces_S14"	"G527_15_P1A8_feces_S15"	"G527_16_P1A9_feces_S16"	"G527_17_P1A11_rumen_S17"	"G527_18_P1A13_rumen_S18"	"G527_19_P1A14_rumen_S19"	"G527_2_P1A13_feces_S2"	"G527_20_P1A19_rumen_S20"	"G527_21_P1A2_rumen_S21"	"G527_22_P1A20_rumen_S22"	"G527_23_P1A218_rumen_S23"	"G527_24_P1A22_rumen_S24"	"G527_25_P1A24_rumen_S25"	"G527_26_P1A25_rumen_S26"	"G527_27_P1A26_rumen_S27"	"G527_28_P1A29_rumen_S28"	"G527_29_P1A4_rumen_S29"	"G527_3_P1A14_feces_S3"	"G527_30_P1A7_rumen_S30"	"G527_31_P1A8_rumen_S31"	"G527_32_P1A9_rumen_S32"	"G527_33_P1A11_SNP_S33"	"G527_34_P1A13_SNP_S34"	"G527_35_P1A14_SNP_S35"	"G527_36_P1A19_SNP_S36"	"G527_37_P1A2_SNP_S37"	"G527_38_P1A20_SNP_S38"	"G527_39_P1A22_SNP_S39"	"G527_4_P1A19_feces_S4"	"G527_40_P1A24_SNP_S40"	"G527_41_P1A25_SNP_S41"	"G527_42_P1A26_SNP_S42"	"G527_43_P1A28_SNP_S43"	"G527_44_P1A29_SNP_S44"	"G527_45_P1A4_SNP_S45"	"G527_46_P1A7_SNP_S46"	"G527_47_P1A8_SNP_S47"	"G527_48_P1A9_SNP_S48"	"G527_49_2019_DNA_S49"	"G527_5_P1A2_feces_S5"	"G527_50_P2A1_feces_S50"	"G527_51_P2A10_feces_S51"	"G527_52_P2A14_feces_S52"	"G527_53_P2A16_feces_S53"	"G527_54_P2A18_feces_S54"	"G527_55_P2A19_feces_S55"	"G527_56_P2A20_feces_S56"	"G527_57_P2A21_feces_S57"	"G527_58_P2A22_feces_S58"	"G527_59_P2A26_feces_S59"	"G527_6_P1A20_feces_S6"	"G527_60_P2A27_feces_S60"	"G527_61_P2A28_feces_S61"	"G527_62_P2A29_feces_S62"	"G527_63_P2A7_feces_S63"	"G527_64_P2A9_feces_S64"	"G527_65_P2A1_rumen_S65"	"G527_66_P2A10_rumen_S66"	"G527_67_P2A14_rumen_S67"	"G527_68_P2A16_rumen_S68"	"G527_69_P2A18_rumen_S69"	"G527_7_P1A22_feces_S7"	"G527_70_P2A19_rumen_S70"	"G527_71_P2A20_rumen_S71"	"G527_72_P2A21_rumen_S72"	"G527_73_P2A22_rumen_S73"	"G527_74_P2A26_rumen_S74"	"G527_75_P2A27_rumen_S75"	"G527_76_P2A28_rumen_S76"	"G527_77_P2A29_rumen_S77"	"G527_78_P2A1_SNP_S78"	"G527_79_P2A10_SNP_S79"	"G527_8_P1A24_feces_S8"	"G527_80_P2A14_SNP_S80"	"G527_81_P2A16_SNP_S81"	"G527_82_P2A18_SNP_S82"	"G527_83_P2A19_SNP_S83"	"G527_84_P2A20_SNP_S84"	"G527_85_P2A21_SNP_S85"	"G527_86_P2A22_SNP_S86"	"G527_87_P2A26_SNP_S87"	"G527_88_P2A27_SNP_S88"	"G527_89_P2A28_SNP_S89"	"G527_9_P1A25_feces_S9"	"G527_90_P2A29_SNP_S90"	"G527_91_P2A7_SNP_S91"	"G527_92_P2A9_SNP_S92"	"G527_93_NoTemplate-DNAextraction1_S93"	"G527_94_NoTemplate-DNAextraction2_S94"	"G527_95_MockCommunity_S95"	"G527_96_NoTemplate-LibraryPrep_S96"
"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE"	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW"	338	0	197	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ"	413	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
"Metals|Zinc_resistance|Zinc_resistance_protein|ZIAA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Metals|Zinc_resistance|Zinc_resistance_protein|ZITB"	1468	0	527	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	0	20	9	1	4	1	7	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	281	0
"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA"	3116	0	922	901	0	0	0	0	2	4	0	0	0	0	0	4	0	0	1	2	0	2	4	0	0	0	0	0	0	0	2	0	1	0	0	0	0	8	0	0	0	0	2	0	14	2	10	0	2	17	11	2	16	2	6	0	6	10	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	937	0
"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB"	1960	0	526	530	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	1	5	0	2	15	7	2	8	0	4	0	4	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	348	0
"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC"	1219	0	351	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	9	0	3	1	1	4	7	3	5	2	1	0	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	261	0
"Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR"	876	0	400	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	7	0	0	14	9	2	2	1	0	0	0	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	137	0
"Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR"	5019	0	2697	1690	0	0	0	2	0	0	1	0	0	2	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	43	6	2	68	46	3	40	6	6	0	4	18	14	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	24	0	996	0
"Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR"	2246	0	1219	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	17	4	14	4	0	17	12	3	16	8	2	0	2	11	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	0	380	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA"	1192	0	477	368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	1	0	9	11	0	7	0	1	0	2	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	256	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB"	2740	0	1038	900	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	2	16	0	2	22	32	0	18	2	6	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	488	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP"	18	12	8	4	46	20	4	18	8	4	0	8	0	0	6	16	6	0	6	28	8	8	4	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	10	6	4	0	2	6	2	10	4	8	2	4	2	4	8	12	8	0	0	0	0	0	10	4	0	0	0	2	4	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID"	1114	0	492	266	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	6	0	0	8	4	2	14	2	4	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR"	644	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF"	4632	0	2670	1734	3	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	42	9	24	3	3	51	45	3	45	18	9	0	6	9	9	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	15	0	1169	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|IDER"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB"	3	3	11	8	20	15	8	4	6	1	1	7	0	7	1	11	1	4	3	7	7	7	34	3	6	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	8	5	0	2	3	10	2	1	4	2	2	10	0	2	2	4	0	0	0	0	0	0	8	0	0	1	0	1	1	1	1	0	1	12	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	164	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA"	1497	0	499	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	1	4	1	0	21	11	1	7	2	1	0	3	3	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	286	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB"	897	0	310	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	1	9	8	2	1	1	1	0	2	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	201	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH"	587	0	149	139	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	4	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	104	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW"	809	0	429	275	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	5	1	5	0	0	12	7	0	7	2	2	0	3	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	226	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN"	1324	0	661	482	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	12	0	7	0	0	16	14	1	11	2	6	0	2	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF"	1190	0	683	441	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	1	11	0	0	20	12	3	10	2	4	0	1	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	252	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YJAA"	104	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB"	536	0	154	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	7	4	0	4	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT"	2802	0	1298	922	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20	2	8	2	2	48	20	8	21	0	4	0	3	12	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	485	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTS"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|HMRR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_MFS_efflux_pumps|MDRL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS"	808	0	471	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	3	1	0	14	12	1	9	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	136	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS|RequiresSNPConfirmation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD"	16256	0	6138	4453	23	35	12	18	18	46	12	17	0	6	3	20	16	7	18	22	28	13	44	7	11	12	0	0	0	0	0	0	6	30	0	0	0	72	0	0	0	3	0	0	80	9	74	6	7	125	93	16	85	31	35	0	22	33	33	6	6	0	0	0	0	6	7	0	3	3	0	9	0	0	0	0	6	40	0	0	0	0	1	0	0	0	0	0	41	0	0	0	94	15	4696	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB"	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMED"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESA"	0	2	4	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	397	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESB"	261	0	105	105	3	0	0	0	7	4	3	0	3	7	2	15	3	3	4	5	1	0	0	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	15	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1088	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA"	2257	0	707	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	9	0	2	12	13	3	8	2	4	0	1	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	802	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB"	5377	1	1757	1431	2	1	0	0	4	5	3	1	0	3	3	8	0	5	4	3	2	2	9	1	0	2	2	0	0	0	0	0	1	1	0	0	0	26	0	0	0	0	0	0	19	4	8	2	2	49	26	3	29	5	4	0	4	6	9	6	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	37	2	1876	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC"	6402	0	1973	1626	0	0	0	0	2	4	1	0	0	0	0	6	0	1	4	0	0	1	4	0	3	1	0	0	0	0	0	0	1	1	0	0	0	37	0	0	0	0	0	0	18	4	19	2	1	47	37	7	26	5	8	0	4	16	11	4	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24	1	2037	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA"	1604	1	712	468	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	1	8	2	0	29	13	2	10	2	5	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	293	0
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER"	1451	4	437	352	21	17	3	7	2	2	0	13	1	1	0	5	3	10	4	6	44	0	9	0	4	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	4	2	2	1	9	10	6	10	5	2	9	7	4	6	5	7	2	0	0	0	1	18	0	5	0	2	1	1	2	0	0	5	7	3	0	0	0	1	0	0	0	0	0	17	0	0	0	4	0	495	0
